word,track,mxm_tid,count,is_test,artist_familiarity,artist_hotttnesss,artist_id,artist_latitude,artist_location,artist_longitude,artist_name,bc_0,bc_1,bc_2,bc_3,bc_4,bc_5,bc_6,bc_7,bc_8,bc_9,duration,loudness,mode,release,song_hotttnesss,song_id,sp_0,sp_1,sp_10,sp_11,sp_12,sp_13,sp_14,sp_15,sp_16,sp_17,sp_18,sp_19,sp_2,sp_20,sp_21,sp_22,sp_23,sp_24,sp_25,sp_26,sp_27,sp_28,sp_29,sp_3,sp_30,sp_31,sp_32,sp_33,sp_34,sp_35,sp_4,sp_5,sp_6,sp_7,sp_8,sp_9,st_0,st_1,st_10,st_11,st_12,st_13,st_14,st_15,st_16,st_17,st_18,st_19,st_2,st_20,st_21,st_22,st_23,st_24,st_25,st_26,st_27,st_28,st_29,st_3,st_30,st_31,st_32,st_33,st_34,st_35,st_4,st_5,st_6,st_7,st_8,st_9,tempo,title,track_id,k_0,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,ts_0,ts_1,ts_3,ts_4,ts_5,ts_7
know,963,963,963,963,963,963,963,363,963,363,963,962,962,962,962,962,962,962,962,960,960,963,963,963,963,687,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,0,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963,963
like,813,813,813,813,813,813,813,275,813,275,813,810,810,810,810,810,810,810,810,809,809,813,813,813,813,590,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,0,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813,813
love,804,804,804,804,804,804,804,315,804,315,804,803,803,803,803,803,803,803,803,802,802,804,804,804,804,559,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,0,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804
time,756,756,756,756,756,756,756,274,756,274,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,536,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,0,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756
go,748,748,748,748,748,748,748,274,748,274,748,747,747,747,747,747,747,747,747,745,745,748,748,748,748,512,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,0,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748
one,730,730,730,730,730,730,730,266,730,266,730,730,730,730,730,730,730,730,730,729,729,730,730,730,730,520,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,0,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730
see,729,729,729,729,729,729,729,273,729,273,729,727,727,727,727,727,727,727,727,726,726,729,729,729,729,501,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,0,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729
get,708,708,708,708,708,708,708,240,708,240,708,706,706,706,706,706,706,706,706,705,705,708,708,708,708,495,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,0,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708,708
come,703,703,703,703,703,703,703,241,703,241,703,702,702,702,702,702,702,702,702,700,700,703,703,703,703,523,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,0,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703
got,655,655,655,655,655,655,655,241,655,241,655,653,653,653,653,653,653,653,653,651,651,655,655,655,655,450,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,0,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655
